[2026-08-11T19:07:08.109Z] GET http://localhost:3737/ → 200 (301ms, 26437B)
[2026-08-11T19:07:08.473Z] GET http://localhost:3737/_next/static/media/54fc36028e2bb174-s.p.a3b6b797.woff2 → 200 (90ms, 120800B)
[2026-08-11T19:07:08.473Z] GET http://localhost:3737/_next/static/media/83afe278b6a6bb3c-s.p.3a6ba036.woff2 → 200 (78ms, 48432B)
[2026-08-11T19:07:08.474Z] GET http://localhost:3737/_next/static/chunks/%5Broot-of-the-server%5D__e4eeb3eb._.css → 200 (31ms, 9076B)
[2026-08-11T19:07:08.474Z] GET http://localhost:3737/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_d4aeaf06._.js → 200 (61ms, 671B)
[2026-08-11T19:07:08.474Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_compiled_react-dom_c02082fa._.js → pending (?ms, ?B)
[2026-08-11T19:07:08.474Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_compiled_react-server-dom-turbopack_f3bcf417._.js → 200 (91ms, 30994B)
[2026-08-11T19:07:08.475Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_compiled_next-devtools_index_363fd55b.js → pending (?ms, ?B)
[2026-08-11T19:07:08.475Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_compiled_b12ed00b._.js → 200 (74ms, 28439B)
[2026-08-11T19:07:08.475Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_client_dcc6b285._.js → pending (?ms, ?B)
[2026-08-11T19:07:08.479Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_e38d9da7._.js → pending (?ms, ?B)
[2026-08-11T19:07:08.479Z] GET http://localhost:3737/_next/static/chunks/27ab9_%40swc_helpers_cjs_335f9ca6._.js → 200 (100ms, 771B)
[2026-08-11T19:07:08.479Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_a0ff3932._.js → 200 (97ms, 734B)
[2026-08-11T19:07:08.479Z] GET http://localhost:3737/_next/static/chunks/turbopack-PM_orbit-os_9e200e60._.js → pending (?ms, ?B)
[2026-08-11T19:07:08.479Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_690b4cfa._.js → pending (?ms, ?B)
[2026-08-11T19:07:08.479Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_src_app_favicon_ico_mjs_9b719d4f._.js → pending (?ms, ?B)
[2026-08-11T19:07:08.479Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_src_app_layout_tsx_6801e5c9._.js → pending (?ms, ?B)
[2026-08-11T19:07:08.480Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_87ae41c4._.js → pending (?ms, ?B)
[2026-08-11T19:07:08.480Z] GET http://localhost:3737/_next/static/chunks/PM_orbit-os_src_app_page_tsx_6cd4db0a._.js → pending (?ms, ?B)
[2026-08-11T19:07:08.480Z] GET http://localhost:3737/_next/static/chunks/27ab9_next_dist_client_components_builtin_global-error_6801e5c9.js → pending (?ms, ?B)
[2026-08-11T19:07:08.950Z] GET http://localhost:3737/_next/static/media/23f1a98b08006014-s.a9f8c6bf.woff2 → 200 (58ms, 105476B)
[2026-08-11T19:07:08.950Z] GET http://localhost:3737/_next/static/media/1bffadaabf893a1e-s.7cd81963.woff2 → 200 (60ms, 85272B)
[2026-08-11T19:07:09.454Z] GET http://localhost:3737/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_c8c997ce._.js → 200 (50ms, 3838B)
[2026-08-11T19:07:09.454Z] GET http://localhost:3737/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_99ecd5cd._.js → 200 (49ms, 288B)
[2026-08-11T19:07:18.747Z] GET http://localhost:3737/ → 200 (210ms, ?B)
[2026-08-11T19:07:18.985Z] GET http://localhost:3737/_next/static/media/54fc36028e2bb174-s.p.a3b6b797.woff2 → 200 (?ms, -302B)
